WholeText,Target_Name
"𝗦𝘂𝗽𝗲𝗿 𝗚𝗼𝗹𝗱𝗲𝗻 𝗕𝘂𝗹𝗹 𝗪𝗶𝗻𝗻𝗲𝗿 𝟮𝟬𝟮𝟭
The 18th annual Golden Bull Award ceremony was held last Friday 5th November, in the Grand Ballroom at One World Hotel, Petaling Jaya, Selangor.
MFE Formwork Technology was delighted to receive their 2nd Super Golden Bull Award at the ceremony, winning their last one in 2018.
It has been such a trying period for all businesses across the world, coping with the pandemic and it’s really an honour to receive such an award in such a difficult trading year.
This would not have happened without the teamwork, commitment and dedication of the entire MFE Family and we wish to say a special ‘Thank You’ to everyone involved, our staff, our workforce, our valued Clients and our supporters across the world.
Speaking after receiving the award, our COO Pat Gorham said ""This is such an honour to have our company recognised and awarded at such an important event. Especially after such a stressful period with Covid, but we never relaxed, never gave up, we stood by our vision and ensured we maintained our position as the leader in our business sector.""",Awards/Recognition/Achievement
"Awake Asia, a regional e-commerce enabler, has announced that it will be now merging with data and AI company ADA, which will help both of the companies empower their services across 10 markets in Asia Pacific, particularly in the e-commerce sector.
Awake Asia’s integration under the ADA brand is effective 1 June this year, where they will serve the markets of Malaysia, Singapore, Indonesia, Thailand, Philippines, Sri Lanka, Bangladesh, Cambodia, South Korea, and Vietnam.
The merger entails the combination of Awake Asia’s deep e-commerce expertise with ADA’s media, creative, and analytics solutions to drive online sales for brands. This is best applied through digital marketing deeply linked to e-commerce revenue generation; consumer data and analytics leveraged to uplift e-commerce sales; and reaching vast audiences in super-apps and marketplaces.
For Srinivas Gattamneni, chief executive officer of ADA, the merger brings together an integrated approach for brands to reach and convert digital consumers, which is best supported by the fact that more brands are forced to adapt to capture the ‘great migration’ of consumers from offline to online, and business owners still in the dark on how to navigate the challenges to maximize return on investment.
“At ADA, our belief is that e-commerce should not be a siloed execution but needs to be deeply integrated into the brand’s analytics, media, creative, and marketing technology investments – only then can we achieve superior performance,” he said.
Leading the new division is Simon Paterson who joins ADA as chief of e-commerce enablement and the former CEO of Awake Asia. 
Commenting on his new appointment, he said “Over the past 5 years, Awake Asia has built a formidable e-commerce enablement business in Southeast Asia. We are excited to embark on this new phase of growth with integrated analytics, media, and creative to boost e-commerce operations for all brands in the region.”
The merger opens a new market for ADA in Vietnam with over 150 e-commerce specialists currently serving more than 120 brands, driving e-commerce growth for clients such as P&G, Unilever, BMW, and Wyeth; and e-commerce partners including Shopee, Tokopedia, and Lazada among others.
ADA has recently been expanding its data and AI-oriented services across Asia Pacific, such as launching its martech service, an end-to-end e-commerce service, and its partnership with Insider for data-led enterprise marketing endeavors, as well its recent US$60m funding from Softbank.",Merger/Acquisition/Partnership
"Carlsberg Group has been named as recipients of the 2021 Lighthouse Awards for a revolutionary water recycling plant inaugurated in 2021, which will make the Fredericia brewery in Denmark the most water efficient brewery in the world.
The winning Lighthouse organisations, named so because they are shining a light for others to follow, have developed new ways of using technology, finance or partnerships, including circularity in their practice, to reduce their impact in waterstressed regions, or build resilience in their local water systems.
The revolutionary technology at Fredericia Brewery recycles 90% of the process water, and will halve water use from 2.9hl per hl of beer to just 1.4 hl/hl, saving around 500 million litres a year. By processing the water to generate biogas and recirculating hot water, the plant is also expected to cut brewery energy consumption by around 10%. The learnings will support Carlsberg to reach its target to virtually eliminate water waste globally by 2030.
Paul O’Callaghan, Founder of Brave Blue World Foundation, commented: “The Lighthouse Awards honour the pioneers who are embracing water innovation to make tangible changes within their organisation or community. It is also an opportunity for us to raise greater awareness of the remarkable work happening in the global water community. The achievements of our 2021 recipients show us what is possible when bold ambitions are supported and enabled. We are proud to celebrate the stories of these visionaries who are showing us the way to a sustainable water future.”
Victor Shevtsov, EVP Integrated Supply Chain, Carlsberg Group, added: “This award is great recognition for the work of our colleagues, developing a public-private partnership to implement world-first technology at our Fredericia brewery. The learnings we take from this will be key to meeting our target to eliminate water waste everywhere we brew, and I look forward to sharing more on the way towards zero.”
The Lighthouse Awards were launched by the Brave Blue World Foundation in December 2020, following the release of its documentary Brave Blue World, which highlights the urgency of the global water crisis and the pioneers who are building sustainable solutions.",Awards/Recognition/Achievement
"I had the honour of launching the second Kuala Lumpur Standard Chartered Marathon (KLSCM) 2021 Virtual Run together with @Rainer Biemans from Dirigo Events.
KLSCM is not just an event for runners, but it offers good wholesome fun for everyone and an opportunity to raise money for a worthy cause. This annual event fosters camaraderie and good spirit among our community and we want to continue facilitating that love for running through a different and safe way in these challenging times.
Last year, more than 52,000 runners from 89 different nationalities registered for the event. I hope more of you will join this year and run the distance wherever you are. I am looking forward to participating again with my family.
You can register for free starting today until 18 November 2021. Running slots are unlimited but I encourage you to sign up early as the virtual run will take place between 20 and 28 November 2021.
As runners, you can also opt to donate to our global initiative, Futuremakers by Standard Chartered to empower the next generation to learn, earn and grow.",Merger/Acquisition/Partnership
Image,LinkedIn impressions/activity
"AM Best has affirmed the Financial Strength Rating (FSR) of A- (Excellent) and the Long-Term Issuer Credit Rating (Long-Term ICR) of “a-” of Labuan Reinsurance (L) Ltd (Labuan Re) (Malaysia). The outlook of these Credit Ratings (ratings) is negative.
The ratings reflect Labuan Re’s balance sheet strength, which AM Best categorises as very strong, as well as its adequate operating performance, neutral business profile and appropriate enterprise risk management (ERM).Labuan Re’s balance sheet strength assessment is underpinned by its risk-adjusted capitalisation that is expected to remain at the strongest level over the medium term, as measured by Best’s Capital Adequacy Ratio (BCAR). Positive balance sheet factors include the company’s typically conservative investment portfolio, with a focus on good quality fixed-income securities. Partially offsetting balance sheet factors include Labuan Re’s modest-sized absolute capital base and limited internal capital generation over recent years. In addition, the company remains exposed to natural catastrophe risks emanating from its regional reinsurance operations and through its participation in several Lloyd’s of London syndicates with international exposure, albeit Labuan Re has sought to actively reduce its peak peril exposures over the past few years.
AM Best views Labuan Re’s operating performance as adequate, albeit the continued negative outlook for the FSR and Long-Term ICR reflects pressure on this assessment. Over recent years, the company’s underwriting performance has been impacted adversely by a series of global catastrophe events and from an increased frequency of large losses on its domestic property portfolio. The company’s combined ratio was 109.3% in 2019, with a five-year average of 106.4% (2015-2019). During the first nine months of 2020, Labuan Re continued to report an underwriting loss driven by a combination of catastrophe losses and provisioning related to the COVID-19 pandemic. Investment operations over a number of years have aided to offset technical losses partially, with a five-year average net investment yield of over 2% (2015-2019). Prospectively, AM Best expects Labuan Re to continue to execute remedial actions, which are aimed at enabling technical and operating profitability over the near term. AM Best does, however, continue to note that challenges remain in executing on this business plan given a persisting competitive operating environment.
AM Best assesses Labuan Re’s business profile as neutral given its position as a well-established regional non-life reinsurer. In addition, the company’s business profile continues to benefit from portfolio diversification emanating from its participation as a corporate member in several Lloyd’s of London syndicates. Over the medium term, AM Best expects the company to exhibit a declining trend in gross written premium, as it continues to embark on a voluntary retrenchment of unprofitable business and scale back its participation in Lloyd’s of London syndicates.
AM Best views the company’s ERM approach as appropriate given the current size and complexity of its operations. Labuan Re continues to develop its technical pricing and risk selection capabilities as part of its remedial actions aimed at improving its prospective underwriting performance.",Awards/Recognition/Achievement
"Rivian’s very first Hub, located in Venice, California, is now open. We’re here to welcome in our #community — come connect, learn and share in our garden, makers’ space and library. Explore the on-site #R1T and get your questions answered. Keep an eye on our calendar for upcoming workshops, programs, speakers and member events.
Anne, a leader on the #Venice Hub team, describes how the Rivian team rallied to create such a meaningful experience and space for the community:
“The idea of Hubs is ambitious, and teams from across Rivian came together to make it a success. We received training that made every team member well-prepared. We had a handful of Rivian Guides join us, with in-depth knowledge to answer questions. It was wonderful to have such important cross-functional support.”
When you are in the area, we hope you come check out the space and get a tour of an R1T. Anne describes the crew you’ll meet: “The team we have here at the Hub is so wonderfully diverse. We have folks with backgrounds in hospitality, education, the EV landscape, and outdoor adventuring, which adds up to an eclectic mix of talents. We are all excited to represent Rivian, create community, and share our mission of Forever.”",Product/Service Launch
We are proud to announce our multi-state university program and inaugural partnership with the University of Wisconsin-Madison. Together we’ll focus on advancing key electric propulsion technologies while reducing burdens on finite natural resources and lowering the overall cost of owning an electric vehicle.,Merger/Acquisition/Partnership
"Canoo (Nasdaq: GOEV), a company manufacturing breakthrough electric vehicle (EVs) today announced owned and contract manufacturing plans. During the company’s first Investor Relations Day, Chairman & CEO Tony Aquila named VDL Nedcar as its contract manufacturing partner. Based in the Netherlands, VDL Nedcar will manufacture the Lifestyle Vehicle for the US & EU markets while Canoo builds its US-based mega microfactory. By parallel pathing contract and owned manufacturing Canoo will meet its commitment to start production and deliver vehicles in Q4, 2022.
“We conducted an exhaustive search, invested significant amounts of time and resources that span the globe, in our search for our Phase 1 contract manufacturer. VDL Nedcar is the right partner,” said Tony Aquila, Investor, Chairman and CEO of Canoo, Inc. “They are the top trusted European manufacturer building high quality products for leading OEMs, and they significantly outcompeted the other contenders. VDL is also independently owned by the van der Leegte family of entrepreneurs - which aligns with our commitment to support businesses that form the backbone of communities. This strategic partnership will enable us to deliver vehicles to market while we build our Phase 2 factory in Oklahoma. It also strongly positions us for geographic expansion in Europe and builds a lasting relationship with VDL Groep of companies. Our investment will help us scale quickly and fulfill our mission to bring affordable, purpose-built EVs to Everyone.”
Canoo and VDL have been working together on vehicle manufacturability and production planning to successfully lay the groundwork for Canoo’s U.S. manufacturing operations, which will be based in Oklahoma. The Nedcar facility is slated to build up to 1000 units for both the US and European markets in 2022 with a target of 15,000 units in 2023.
“Canoo’s bold approach to designing and building electric vehicles makes them an ideal partner as we work together to shape the future of mobility,” said John van Soerland, CEO of VDL Nedcar. “This partnership advances our strategic vision to provide a contract manufacturing solution and expand our expertise in the EV arena.”
Canoo is entering its GAMMA phase of development and is on track for start of production. The company expects to launch its Lifestyle Vehicle in Q4 2022 followed by the Multi-Purpose Delivery Vehicle and Pickup Truck.",Merger/Acquisition/Partnership
"#TeamTaylorMade took over Encinitas Ranch for the HQ Employee Classic, our biggest and most fun tournament of the year! From hole challenges and contests to the perfect San Diego weather...this day at the ""office"" was one to remember! #LifeAtTaylorMade",Event/Seminar
